Genome	Phagocyte-generalist prediction	Phagocyte-entamoebid prediction	Phagocyte-rozellid prediction	Prototrophy prediction	Photosynthesis prediction
0.15.1.EP00298_Acanthocystis_sp_HF-20	0.0174700426022575	0.254399815941754	0.0274938972993616	0.00157687593174395	0.000370359423465206
0.15.10.EP00298_Acanthocystis_sp_HF-20	0.00356246823135297	0.0573000246019553	0.0876941088580332	0.0059559299021351	0.000441258981680867
0.15.11.EP00298_Acanthocystis_sp_HF-20	0.00979558092928483	0.0410332369146178	0.0445253039342616	0.00278609530810736	0.000509195090660598
0.15.12.EP00298_Acanthocystis_sp_HF-20	0.0496545851552297	0.130687748266773	0.072825680946008	0.00071723983608631	0.000364623174727894
0.15.13.EP00298_Acanthocystis_sp_HF-20	0.0510314864200968	0.352493387518453	0.0488626848644439	0.000943233606292432	0.000534563928560424
0.15.14.EP00298_Acanthocystis_sp_HF-20	0.0509306204149775	0.547120772864832	0.589360513691995	0.000715685051772477	0.000342329768304429
0.15.15.EP00298_Acanthocystis_sp_HF-20	0.0494615003510194	0.159893435958261	0.0399183326668684	0.0013796312042823	0.000536786277160453
0.15.16.EP00298_Acanthocystis_sp_HF-20	0.0349537683265324	0.446714237027667	0.0790207057524165	0.00163722743391208	0.000486282468265604
0.15.17.EP00298_Acanthocystis_sp_HF-20	0.0148190930034363	0.0745350565557128	0.0362229904124355	0.00117102947601847	0.000494492923694315
0.15.18.EP00298_Acanthocystis_sp_HF-20	0.00213711355644261	0.0189316830555625	0.0174494174312817	0.000512827798248482	0.000338908787945987
0.15.19.EP00298_Acanthocystis_sp_HF-20	0.00758141295905481	0.166206844070273	0.0550938308685005	0.00122922188967124	0.000330312553905597
0.15.2.EP00298_Acanthocystis_sp_HF-20	0.0281464151781571	0.226095596187702	0.452580761246282	0.00380548069866766	0.00053681545638595
0.15.20.EP00298_Acanthocystis_sp_HF-20	0.00852772951770721	0.0291061484457055	0.0743658210307622	0.000681350767678901	0.000551226819091854
0.15.3.EP00298_Acanthocystis_sp_HF-20	0.0202581616749098	0.253548086768109	0.316703437577156	0.000960826738173846	0.000349325688896794
0.15.4.EP00298_Acanthocystis_sp_HF-20	0.0353623725410001	0.173808726250277	0.165863790701443	0.00180455157225907	0.00033714682080706
0.15.5.EP00298_Acanthocystis_sp_HF-20	0.0109298975220122	0.0320166788270114	0.139097620322037	0.00120344054315855	0.000333985301604296
0.15.6.EP00298_Acanthocystis_sp_HF-20	0.040617829322262	0.316151390113137	0.0305028651327265	0.00091277400608179	0.000319139408129681
0.15.7.EP00298_Acanthocystis_sp_HF-20	0.00835314802603471	0.025120775055815	0.130358009387353	0.00109243627221634	0.000380032323198977
0.15.8.EP00298_Acanthocystis_sp_HF-20	0.0159020189787022	0.351599609821425	0.113710837841762	0.00163496303283397	0.000591329620765695
